epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7645,2.07805,3.01977,2.01216,0.00152,0.45714,0.12955,0.02534,2.8545,4.43355,2.77469,0.00016,0.00016,0.00016
2,94.2223,1.46405,2.13254,1.54078,0.00314,0.94286,0.24504,0.0397,1.88135,4.14956,2.21058,0.0002278,0.0002278,0.0002278
3,140.132,1.12534,1.65635,1.29498,0.00731,0.88571,0.4959,0.19812,1.54864,3.8069,1.86861,0.0001768,0.0001768,0.0001768
